name,ring,quadrant,isNew,description
Spring Framework,Mandatory,Software Engineering,VERDADERO,
NodeJS,Recommended,Software Engineering,VERDADERO,
Docker,Mandatory,Software Engineering,VERDADERO,
Kubernetes (Openshif),Mandatory,Software Engineering,VERDADERO,
OutSystems v11.6,Mandatory,Software Engineering,VERDADERO,
React 16.x,Mandatory,Software Engineering,VERDADERO,
Swift 5.x,Mandatory,Software Engineering,VERDADERO,
Angular v8 (v7),Mandatory,Software Engineering,VERDADERO,
Kotlin  1.3.x ,Mandatory,Software Engineering,VERDADERO,
Java  11.x   ,Mandatory,Software Engineering,VERDADERO,
Spring Framework ,Mandatory,Software Engineering,VERDADERO,
Node.js  12.x ,Recommended,Software Engineering,VERDADERO,
PHP  7.3.x,Recommended,Software Engineering,VERDADERO,
.NET Core  2.2.x,Recommended,Software Engineering,VERDADERO,
C++  17.x  ,Recommended,Software Engineering,VERDADERO,
C#  7.x   ,Recommended,Software Engineering,VERDADERO,
COBOL (Mainframe)  Latest   ,Mandatory,Software Engineering,VERDADERO,
Microfocus COBOL  Latest,Mandatory,Software Engineering,VERDADERO,
HTML5  5.2.x   ,Mandatory,Software Engineering,VERDADERO,
Swagger  3.0.x,Mandatory,Software Engineering,VERDADERO,
YAML  1.2   ,Mandatory,Software Engineering,VERDADERO,
XML  1.0   ,Mandatory,Software Engineering,VERDADERO,
JSON,Mandatory,Software Engineering,VERDADERO,
RabbitMQ v3.7,Mandatory,Software Engineering,VERDADERO,
Apigee v4.19,Mandatory,Integration & Streaming,VERDADERO,
Api Connect v5.8,Recommended,Integration & Streaming,VERDADERO,
IBM MQ v9.1,Mandatory,Integration & Streaming,VERDADERO,
Schema Registry v5.4,Mandatory,Integration & Streaming,VERDADERO,
TIBCO Business Works Container Edition v2.4,Mandatory,Integration & Streaming,VERDADERO,
Spring Integration v5.0,Recommended,Integration & Streaming,VERDADERO,
Mulesoft v4.0,Mandatory,Integration & Streaming,VERDADERO,
Active Matrix BPM v4.3,Mandatory,Process & Automation,VERDADERO,
Appian v19.x,Mandatory,Process & Automation,VERDADERO,
UiPath 2019 LTS,Mandatory,Process & Automation,VERDADERO,
BluePrism v6.5.0,Mandatory,Process & Automation,VERDADERO,
IBM ODM v8.10,Mandatory,Process & Automation,VERDADERO,
Drools (RedHat BRMS) v6.x,Recommended,Process & Automation,VERDADERO,
Angular v8 (v7),Mandatory,DX & Touchpoints,VERDADERO,
React 16.x,Recommended,DX & Touchpoints,VERDADERO,
TBD (Multipage),Mandatory,DX & Touchpoints,VERDADERO,
Swift v5,Mandatory,DX & Touchpoints,VERDADERO,
Kotlin v1.3,Mandatory,DX & Touchpoints,VERDADERO,
Angular v8 (v7),Mandatory,DX & Touchpoints,VERDADERO,
Firebase platform & Native SDKs,Mandatory,DX & Touchpoints,VERDADERO,
Watson,Mandatory,DX & Touchpoints,VERDADERO,
DialogFlow,Mandatory,DX & Touchpoints,VERDADERO,
eVA v3,Mandatory,DX & Touchpoints,VERDADERO,
Odigo,Mandatory,DX & Touchpoints,VERDADERO,
Purecloud,Recommended,DX & Touchpoints,VERDADERO,
Nuance 11,Mandatory,DX & Touchpoints,VERDADERO,
Verint,Mandatory,DX & Touchpoints,VERDADERO,
Nice,Recommended,DX & Touchpoints,VERDADERO,
Adobe AEM sites,Mandatory,DX & Touchpoints,VERDADERO,
Oracle Content & Experience Cloud,Mandatory,DX & Touchpoints,VERDADERO,
Bloomreach Experience Manager 13,Mandatory,DX & Touchpoints,VERDADERO,
Microfocus IDOL 11,Mandatory,DX & Touchpoints,VERDADERO,
Google Analytics,Mandatory,DX & Touchpoints,VERDADERO,
Google Tag Manager,Mandatory,DX & Touchpoints,VERDADERO,
Tealium IQ,Mandatory,DX & Touchpoints,VERDADERO,
TBD (Behavoiur & Journey Analytics),Mandatory,DX & Touchpoints,VERDADERO,
Office 365,Mandatory,DX & Touchpoints,VERDADERO,
Beezy,Mandatory,DX & Touchpoints,VERDADERO,
